nodegoat ID,Object ID,Name,Region,[GPS Location] Geometry
ngHO2H18tHuZtIeZrH294weEiJV,12150521,Bithynia,Northern Anatolia,"{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""Polygon"", ""coordinates"": [[[29.091796875, 41.19518982948959], [28.992919921875004, 41.09591205639546], [29.102783203125, 40.93841495689795], [29.245605468749996, 40.86367966548168], [29.33349609375, 40.81380923056958], [29.487304687499996, 40.78054143186033], [29.410400390625, 40.72228267283148], [29.190673828124996, 40.6723059714534], [28.992919921875004, 40.6306300839918], [28.937988281249996, 40.61395244116659], [28.7841796875, 40.55554790286311], [28.883056640625, 40.455307212131494], [29.014892578125, 40.455307212131494], [29.0478515625, 40.40513069752789], [28.883056640625, 40.38002840251183], [28.685302734374996, 40.38002840251183], [28.828124999999993, 40.195659093364654], [29.02587890625, 39.99395569397331], [29.355468750000007, 39.87601941962116], [29.487304687499996, 39.93501296038254], [29.827880859374996, 39.93501296038254], [30.025634765625, 39.93501296038254], [30.234375, 39.9602803542957], [30.47607421875, 39.9602803542957], [30.794677734375, 40.04443758460856], [31.003417968749996, 40.07807142745009], [31.146240234375004, 40.07807142745009], [31.387939453125, 40.07807142745009], [31.585693359375004, 40.07807142745009], [31.728515624999996, 40.094882122321145], [31.893310546875, 40.212440718286466], [32.091064453125, 40.38002840251183], [32.156982421875, 40.6306300839918], [32.18994140625, 40.763901280945866], [32.266845703125, 40.96330795307353], [32.32177734374999, 41.02964338716638], [32.420654296875, 41.11246878918088], [32.6513671875, 41.19518982948959], [33.0029296875, 41.28606238749825], [33.33251953125, 41.33557597312392], [33.59619140624999, 41.33557597312392], [33.662109375, 41.343824581185686], [34.03564453125, 41.376808565702355], [34.310302734375, 41.4509614012039], [34.464111328125, 41.4509614012039], [34.881591796875, 41.376808565702355], [35.299072265625, 41.269549502842565], [35.562744140625, 41.269549502842565], [35.77148437499999, 41.31082388091818], [35.9912109375, 41.3850519497068], [36.090087890625, 41.566141964768384], [36.002197265625, 41.73033005046653], [35.88134765625, 41.73033005046653], [35.68359375, 41.63186741069748], [35.5078125, 41.65649719441145], [35.244140625, 41.75492216766298], [35.13427734375, 41.86137915587359], [35.1123046875, 41.91045347666418], [35.1123046875, 41.96765920367816], [35.15625, 42.00032514831621], [35.2001953125, 42.04113400940807], [35.1123046875, 42.04929263868683], [34.991455078125, 42.09007006868398], [34.859619140625, 42.01665183556825], [34.617919921875, 41.95131994679697], [34.288330078125, 41.96765920367816], [33.848876953125, 41.9921602333763], [33.47534179687499, 42.00848901572399], [33.33251953125, 42.032974332441405], [33.0029296875, 41.92680320648791], [32.552490234375, 41.81226714359981], [32.025146484375, 41.60722821271717], [31.70654296875, 41.43449030894922], [31.4208984375, 41.343824581185686], [31.387939453125, 41.16211393939692], [31.157226562499996, 41.062786068733026], [30.596923828125, 41.1290213474951], [30.201416015625004, 41.21172151054787], [29.970703124999993, 41.1455697310095], [29.355468750000007, 41.22824901518529], [29.190673828124996, 41.22824901518529], [29.091796875, 41.19518982948959]]]}]}"
ngIP2I28uIfAtJfMsIh0txfhjJc,12150522,Cappadocia,Anatolia,"{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""Polygon"", ""coordinates"": [[[38.25439453125, 39.09596293630547], [37.44140625, 39.20671884491848], [36.177978515625, 39.138581990583525], [33.99169921875, 38.865374851611634], [33.64013671875, 38.65119833229951], [32.76123046875, 38.36750215395045], [32.420654296875, 37.97884504049713], [32.10205078125, 37.67512527892127], [32.222900390625, 37.405073750176925], [32.98095703125, 37.29153547292737], [33.7939453125, 37.35269280367274], [34.617919921875, 37.53586597792038], [35.101318359375, 37.65773212628272], [35.61767578125, 37.76202988573211], [36.298828125, 37.97018468810549], [36.815185546875, 38.03078569382294], [37.276611328125, 38.12591462924157], [37.760009765625, 38.487994609214795], [38.16650390625, 38.77121637244273], [38.38623046875, 38.94232097947902], [38.353271484375, 39.06184913429154], [38.25439453125, 39.09596293630547]]]}]}"
ngJQ2J38vJQBuKgJtKi1uygekKX,12150523,Chaironeia,Boiotia,"{""type"": ""Point"", ""coordinates"": [22.83924331317624, 38.495095907698165]}"
ngKR2G48wMRC9LhGuKD27zhblKe,12150524,Chalkis - Syria,Levant,"{""type"": ""Point"", ""coordinates"": [37.009719, 36.007956]}"
ngMT2E68yOTE7NjIwMF4xbjVnNg,12150526,Cisalpine Gaul,Continental Europe,"{""type"": ""Point"", ""coordinates"": [10.283203, 45.676921]}"
ngNU2F78zPEF7OkNxNm5zckOoNh,12150527,Konstantinopolis - Istanbul,Northern Anatolia,"{""type"": ""Point"", ""coordinates"": [28.961291608299003, 41.00779080957]}"
ngOV2G88aQFGaPleyQH60dlDpPC,12150528,Damaskos,Levant,"{""type"": ""Point"", ""coordinates"": [36.309102, 33.511612]}"
ngPW2H98bQcHbQmfzQo70emUqQD,12150529,Delos,Aegean Islands,"{""type"": ""Point"", ""coordinates"": [25.270238900512, 37.392022210974]}"
ngQX3M08cRHI1RngaR18afnhrRk,12150530,Elea,Northern Greece,"{""type"": ""Point"", ""coordinates"": [20.55027763413047, 39.44016332596633]}"
ngRY3N18dReJeSohbSK95goOsSF,12150531,Elea - Magna Graecia,Campania,"{""type"": ""Point"", ""coordinates"": [15.156156847538998, 40.160500737211]}"
ngSZ3O28eSpKfTpGcS30dhpXtSG,12150532,Ephesos,Ionia,"{""type"": ""Point"", ""coordinates"": [27.339721999999995, 37.941944]}"
ngTA3P38fTALgUqBdTM1fiqQuUH,12150533,Halikarnassos,Karia,"{""type"": ""Point"", ""coordinates"": [27.420201, 37.042901]}"
ngUB3Y48gVBM4VrYeVN2hjrHvVI,12150534,Herakleia Pontika,Northern Anatolia,"{""type"": ""Point"", ""coordinates"": [31.417413666667, 41.283255333333]}"
ngVC3Z58hWMNgWslfWu36ksIwXJ,12150535,Keos,Aegean Islands,"{""type"": ""Point"", ""coordinates"": [24.333333, 37.616667]}"
